analysis_id,display_label,family,variant_kind,fold_id,training_seed,train_rows,validation_rows,positive_n,positive_share,pr_auc,roc_auc,status
replace_entangling_gates_with_identity,Brak splątania (identity),qnn,qnn_structural,fold_2020,20260818,16280,1688,219,0.129739336493,0.30595746958,0.791051595998,COMPLETE
second_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_CRX_RING,qnn,qnn_structural,fold_2015,20260818,6468,2241,506,0.225792057117,0.471526908653,0.766492578966,COMPLETE
second_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_CRX_RING,qnn,qnn_structural,fold_2016,20260818,8761,2133,351,0.164556962025,0.378046465236,0.777985617492,COMPLETE
second_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_CRX_RING,qnn,qnn_structural,fold_2017,20260818,11089,1549,257,0.165913492576,0.406251245949,0.788332269217,COMPLETE
second_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_CRX_RING,qnn,qnn_structural,fold_2018,20260818,13221,1511,327,0.216412971542,0.398570572767,0.697462083643,COMPLETE
second_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_CRX_RING,qnn,qnn_structural,fold_2019,20260818,14783,1638,326,0.199023199023,0.288351647832,0.641201322385,COMPLETE
second_nonselected_ansatz_in_Q1_registry_order_at_fixed_final_settings,RY_CRX_RING,qnn,qnn_structural,fold_2020,20260818,16280,1688,219,0.129739336493,0.353008645908,0.794532981465,COMPLETE
swap_4_and_6_qubit_PCA_at_fixed_other_settings,PCA 6 qubitów,qnn,qnn_structural,fold_2015,20260818,6468,2241,506,0.225792057117,0.466709441004,0.758836327186,COMPLETE
swap_4_and_6_qubit_PCA_at_fixed_other_settings,PCA 6 qubitów,qnn,qnn_structural,fold_2016,20260818,8761,2133,351,0.164556962025,0.381090751974,0.771226030485,COMPLETE
swap_4_and_6_qubit_PCA_at_fixed_other_settings,PCA 6 qubitów,qnn,qnn_structural,fold_2017,20260818,11089,1549,257,0.165913492576,0.379141914147,0.783603980195,COMPLETE
swap_4_and_6_qubit_PCA_at_fixed_other_settings,PCA 6 qubitów,qnn,qnn_structural,fold_2018,20260818,13221,1511,327,0.216412971542,0.406911887746,0.702940325647,COMPLETE
swap_4_and_6_qubit_PCA_at_fixed_other_settings,PCA 6 qubitów,qnn,qnn_structural,fold_2019,20260818,14783,1638,326,0.199023199023,0.297195937282,0.637043150531,COMPLETE
swap_4_and_6_qubit_PCA_at_fixed_other_settings,PCA 6 qubitów,qnn,qnn_structural,fold_2020,20260818,16280,1688,219,0.129739336493,0.329864061381,0.787461417235,COMPLETE
