family,family_label,feature_name,mean_pr_auc_decrease_across_folds,fold_sample_sd,min_fold_decrease,max_fold_decrease,positive_fold_count,mean_repeat_sample_sd,mean_fold_baseline_pr_auc,duplicate_rows_dropped_total,rank_within_family
hist_gradient_boosting,HistGradientBoosting,asset_turnover_t,-0.00274535314049,0.00472481368216,-0.0108998608304,0.00258059408345,2,0.00352535969833,0.414349115073,5,16
hist_gradient_boosting,HistGradientBoosting,accruals_to_assets_t,-0.00290677641638,0.00534360755681,-0.0114231353491,0.00290889824569,2,0.00386719290034,0.414349115073,5,17
pytorch_mlp,MLP,log1p_revenues_t,0.037920804855,0.0167137855669,0.0183728137892,0.0583264481219,6,0.0124462380864,0.400411618045,5,1
pytorch_mlp,MLP,log_assets_t,0.0364388274812,0.00967812364143,0.0215409885256,0.0505033931003,6,0.00998520168434,0.400411618045,5,2
pytorch_mlp,MLP,accruals_to_assets_t,0.035403822374,0.0148434670749,0.0240154370253,0.0623361479569,6,0.00915855332195,0.400411618045,5,3
pytorch_mlp,MLP,current_ratio_t,0.0255260151151,0.0267394737901,0.00298557319281,0.0759308785396,6,0.00608367729112,0.400411618045,5,4
pytorch_mlp,MLP,roa_t,0.0173008111936,0.0192667781391,-0.00377615064372,0.0517450461238,5,0.00337387545862,0.400411618045,5,5
pytorch_mlp,MLP,delta_ocf_to_assets_1y,0.0160707974313,0.00762397172227,0.00756142715832,0.0281338071124,6,0.00648131784995,0.400411618045,5,6
pytorch_mlp,MLP,current_ratio_change_1y,0.0100265424516,0.00367845655978,0.00375991347885,0.0141118986324,6,0.00347498140632,0.400411618045,5,7
pytorch_mlp,MLP,ocf_margin_t,0.00847641219294,0.0126901999049,-0.0141793590326,0.0210639452633,5,0.00327439008944,0.400411618045,5,8
pytorch_mlp,MLP,delta_roa_1y,0.00724553307864,0.00474227044819,-0.00075014032608,0.0134563122296,5,0.00409273436912,0.400411618045,5,9
pytorch_mlp,MLP,liabilities_to_assets_t,0.00714272150684,0.00829931955014,-0.0075507914738,0.0158197474381,5,0.00306087928095,0.400411618045,5,10
pytorch_mlp,MLP,asset_growth_1y,0.0054205839602,0.00632310259017,-0.00123532107486,0.0169242600371,5,0.00378510190934,0.400411618045,5,11
pytorch_mlp,MLP,asset_turnover_t,0.00525172183026,0.00793698762494,-0.00448222595712,0.0138025048094,4,0.00371963448691,0.400411618045,5,12
pytorch_mlp,MLP,revenue_growth_1y,0.00521271980347,0.00744461988803,-0.00295011995437,0.0149245563743,4,0.00464375506715,0.400411618045,5,13
pytorch_mlp,MLP,working_capital_to_assets_t,0.00416719080941,0.00951822049845,-0.00939318694278,0.0169858134056,4,0.00275743107558,0.400411618045,5,14
pytorch_mlp,MLP,profit_margin_t,0.00362221344712,0.0100708775154,-0.00720044941295,0.0144563444342,3,0.0036493840749,0.400411618045,5,15
pytorch_mlp,MLP,ocf_to_assets_t,0.00322332883278,0.00434862859477,-0.00371628773046,0.00855788792462,5,0.00457749420852,0.400411618045,5,16
pytorch_mlp,MLP,delta_liabilities_to_assets_1y,0.00143150225044,0.00666765944568,-0.0107556224872,0.00791322602573,4,0.00264941770585,0.400411618045,5,17
qnn,QNN,roa_t,0.0316300581089,0.0174241710792,0.00771067614942,0.056118677851,6,0.00747041585229,0.385564997681,5,1
qnn,QNN,accruals_to_assets_t,0.0267110374278,0.0141133137549,0.00867797693055,0.0434937231326,6,0.0083231858325,0.385564997681,5,2
qnn,QNN,log1p_revenues_t,0.0250424477248,0.00588400309263,0.0178102866029,0.0309908637234,6,0.00663660860723,0.385564997681,5,3
qnn,QNN,log_assets_t,0.0191455491813,0.00642906089766,0.00745182610854,0.024968252264,6,0.00716933344399,0.385564997681,5,4
qnn,QNN,ocf_to_assets_t,0.0157504849542,0.00838445545893,0.00584628082127,0.029625457301,6,0.00659705454828,0.385564997681,5,5
qnn,QNN,liabilities_to_assets_t,0.015125511279,0.00897940620034,0.00492572641656,0.0266791718576,6,0.00733098932719,0.385564997681,5,6
qnn,QNN,working_capital_to_assets_t,0.0150994123784,0.0100626333777,0.00436668606068,0.027635669675,6,0.00851487775776,0.385564997681,5,7
qnn,QNN,current_ratio_t,0.00915403215551,0.00894493046692,-0.000677476007284,0.0203889177865,5,0.00397232499416,0.385564997681,5,8
qnn,QNN,current_ratio_change_1y,0.00892929122519,0.00684131435157,0.00207976022525,0.0202707696012,6,0.00510541554092,0.385564997681,5,9
qnn,QNN,ocf_margin_t,0.00891966427745,0.0091864036979,0.000392739785558,0.0220007623862,6,0.00572458845462,0.385564997681,5,10
qnn,QNN,profit_margin_t,0.00790903078129,0.00977951267473,-0.00428942485809,0.0204190800943,4,0.00571394665967,0.385564997681,5,11
qnn,QNN,asset_growth_1y,0.00734038391984,0.00425730248437,0.00290973641995,0.0144735926519,6,0.00440043213774,0.385564997681,5,12
qnn,QNN,delta_ocf_to_assets_1y,0.0053508282321,0.00563192682762,-0.00300895530082,0.0140203556064,5,0.00351879237642,0.385564997681,5,13
qnn,QNN,delta_roa_1y,0.00335067782335,0.00645396121204,-0.00541284939644,0.00973578755189,4,0.00382710904949,0.385564997681,5,14
qnn,QNN,asset_turnover_t,0.00281457199941,0.00575833169265,-0.00560179596718,0.00996946914474,4,0.00305498458377,0.385564997681,5,15
qnn,QNN,revenue_growth_1y,0.00253908924581,0.00248390053955,-3.07702884631e-05,0.00632049461892,5,0.00336338375241,0.385564997681,5,16
