cecha,blok,feature_year,n,n_finite,n_pominiete,median,P25,P75,missingness_pct
delta_roa_1y,D,2018,1511,1321,190,0.0083910979154067,-0.046906239119154,0.0568332609846941,12.574454003970882
delta_roa_1y,D,2019,1638,1408,230,-0.007465243673651201,-0.06488953160405977,0.0378161676134983,14.041514041514041
delta_roa_1y,D,2020,1688,1463,225,-0.0048005179466631,-0.059145166255353154,0.06401517074915765,13.329383886255924
delta_ocf_to_assets_1y,D,2011,1907,1885,22,-0.0036467800245437,-0.0495623042748037,0.0354345199714021,1.1536444677503932
delta_ocf_to_assets_1y,D,2012,2311,1953,358,0.0004264870274733,-0.0455078168308006,0.0440564962995578,15.49112938122025
delta_ocf_to_assets_1y,D,2013,2393,1976,417,0.00058572464970265,-0.041359762184786306,0.04507588599104755,17.425825323861265
delta_ocf_to_assets_1y,D,2014,2300,2000,300,-0.0018613784499410002,-0.047055831083207475,0.0381667128651937,13.043478260869565
delta_ocf_to_assets_1y,D,2015,2241,1962,279,0.0013313571075685001,-0.044567773284904424,0.051950012490386555,12.449799196787147
delta_ocf_to_assets_1y,D,2016,2133,1845,288,-0.0027533203032035,-0.0555406063287237,0.0389773758026448,13.502109704641349
delta_ocf_to_assets_1y,D,2017,1549,1379,170,-0.0076107681596658,-0.0508235128823873,0.0373888158600369,10.974822466107167
delta_ocf_to_assets_1y,D,2018,1511,1321,190,0.0054105813950743,-0.0483133112422717,0.0472418162445368,12.574454003970882
delta_ocf_to_assets_1y,D,2019,1638,1415,223,-0.0017232002708638,-0.0500532083885429,0.04216718725270535,13.614163614163614
delta_ocf_to_assets_1y,D,2020,1688,1464,224,0.0085759046757668,-0.034578040888188076,0.07373244240404264,13.270142180094787
current_ratio_change_1y,D,2011,1907,1893,14,-0.0135025097840815,-0.1711924807722695,0.2124034008510541,0.7341373885684321
current_ratio_change_1y,D,2012,2311,1958,353,-0.00381911483318495,-0.1831567553747565,0.1784681151843988,15.274772825616617
current_ratio_change_1y,D,2013,2393,2100,293,0.0115481814507401,-0.1599716287043076,0.21541537491370755,12.244045131633932
