comparison_id,replicate,status,model_a_ap,model_b_ap,delta_ap_a_minus_b,model_a_roc_auc,model_b_roc_auc,delta_roc_auc_a_minus_b
xgboost_minus_random_forest,17,VALID,0.4164456222778431,0.40499936796646535,0.011446254311377746,0.7528638048970111,0.7514005475552983,0.0014632573417128203
qnn_minus_pca_matched_mlp,17,VALID,0.38146952958554015,0.3932363265395874,-0.011766796954047254,0.7254342022132293,0.7312671111030706,-0.005832908889841337
qnn_minus_pca_matched_fixed_l2_logistic,17,VALID,0.38146952958554015,0.38966866763374697,-0.008199138048206822,0.7254342022132293,0.7310030515863517,-0.005568849373122409
xgboost_minus_hist_gradient_boosting,18,VALID,0.41006223092178584,0.41200745203990197,-0.001945221118116125,0.7622051159294303,0.7608838717895954,0.0013212441398349206
xgboost_minus_random_forest,18,VALID,0.41006223092178584,0.40831964639217366,0.001742584529612179,0.7622051159294303,0.7632336492818017,-0.001028533352371408
qnn_minus_pca_matched_mlp,18,VALID,0.3981009405004402,0.3939839572839891,0.004116983216451098,0.7467749878562119,0.7480735542592849,-0.0012985664030730204
qnn_minus_pca_matched_fixed_l2_logistic,18,VALID,0.3981009405004402,0.3778710341776765,0.020229906322763724,0.7467749878562119,0.745895875591616,0.000879112264595916
xgboost_minus_hist_gradient_boosting,19,VALID,0.4214055704417552,0.4043108683062619,0.0170947021354933,0.7523438438168739,0.7483794939888855,0.003964349827988434
xgboost_minus_random_forest,19,VALID,0.4214055704417552,0.41132192900964415,0.010083641432111046,0.7523438438168739,0.752411455510884,-6.761169401003908e-05
qnn_minus_pca_matched_mlp,19,VALID,0.39069184617913816,0.401616255721997,-0.010924409542858837,0.7381861132471585,0.7385645579838904,-0.0003784447367318755
qnn_minus_pca_matched_fixed_l2_logistic,19,VALID,0.39069184617913816,0.384167889257595,0.0065239569215431725,0.7381861132471585,0.7353743253375303,0.002811787909628216
xgboost_minus_hist_gradient_boosting,20,VALID,0.4266905945867261,0.4140786170738523,0.012611977512873795,0.765478096889378,0.7633621223767376,0.0021159745126403395
xgboost_minus_random_forest,20,VALID,0.4266905945867261,0.420491263694503,0.006199330892223076,0.765478096889378,0.7612705686609545,0.004207528228423407
qnn_minus_pca_matched_mlp,20,VALID,0.3840559401901666,0.40029592665330493,-0.016239986463138345,0.7377234606767604,0.7444241949979561,-0.006700734321195667
qnn_minus_pca_matched_fixed_l2_logistic,20,VALID,0.3840559401901666,0.3828505987368973,0.0012053414532692819,0.7377234606767604,0.7387295500306461,-0.0010060893538856863
xgboost_minus_hist_gradient_boosting,21,VALID,0.4187407887565529,0.41302031892303204,0.005720469833520869,0.7652820919530683,0.7630612493555439,0.0022208425975244195
xgboost_minus_random_forest,21,VALID,0.4187407887565529,0.4109527534423124,0.0077880353142404934,0.7652820919530683,0.7649813314904919,0.00030076046257643263
qnn_minus_pca_matched_mlp,21,VALID,0.3841816472066219,0.3953076243353344,-0.011125977128712494,0.7426317531617872,0.7464299362837821,-0.003798183121994869
qnn_minus_pca_matched_fixed_l2_logistic,21,VALID,0.3841816472066219,0.3840830441131955,9.860309342640816e-05,0.7426317531617872,0.742969652984515,-0.00033789982272780517
xgboost_minus_hist_gradient_boosting,22,VALID,0.3986279725464487,0.4019617709105698,-0.0033337983641210656,0.7541220162189733,0.7555390990708,-0.0014170828518266232
xgboost_minus_random_forest,22,VALID,0.3986279725464487,0.3986448361889652,-1.686364251646255e-05,0.7541220162189733,0.7537266343132536,0.0003953819057197494
qnn_minus_pca_matched_mlp,22,VALID,0.380745790327954,0.38562545250454605,-0.004879662176592026,0.738857440852716,0.7395606688933654,-0.0007032280406493729
qnn_minus_pca_matched_fixed_l2_logistic,22,VALID,0.380745790327954,0.3708676977731553,0.009878092554798712,0.738857440852716,0.734897497893858,0.003959942958857932
xgboost_minus_hist_gradient_boosting,23,VALID,0.42989955359863,0.42899683476351524,0.0009027188351147797,0.7725689309118076,0.7723710455318453,0.0001978853799622371
xgboost_minus_random_forest,23,VALID,0.42989955359863,0.424952375146049,0.004947178452581025,0.7725689309118076,0.7705327724551594,0.002036158456648174
qnn_minus_pca_matched_mlp,23,VALID,0.3859608189711644,0.40824335142765295,-0.022282532456488535,0.7449063923400765,0.7511352298307714,-0.006228837490694916
qnn_minus_pca_matched_fixed_l2_logistic,23,VALID,0.3859608189711644,0.3972905388197775,-0.011329719848613085,0.7449063923400765,0.7473471462504211,-0.002440753910344595
xgboost_minus_hist_gradient_boosting,24,VALID,0.4172450755758214,0.41289254429235006,0.00435253128347135,0.756721134476106,0.7554834053604053,0.0012377291157007475
xgboost_minus_random_forest,24,VALID,0.4172450755758214,0.4201326438399847,-0.0028875682641633094,0.756721134476106,0.7578032169250835,-0.0010820824489774505
qnn_minus_pca_matched_mlp,24,VALID,0.39867054918316663,0.4049686135813288,-0.006298064398162162,0.7423018829325674,0.7431680262309242,-0.0008661432983567696
qnn_minus_pca_matched_fixed_l2_logistic,24,VALID,0.39867054918316663,0.3929224228306578,0.00574812635250882,0.7423018829325674,0.7411953084378223,0.0011065744947450495
xgboost_minus_hist_gradient_boosting,25,VALID,0.40946274255483694,0.4154442711961757,-0.005981528641338774,0.7495057509534065,0.7516594765622033,-0.002153725608796786
xgboost_minus_random_forest,25,VALID,0.40946274255483694,0.4167736310449364,-0.007310888490099476,0.7495057509534065,0.7518714671067976,-0.0023657161533910953
qnn_minus_pca_matched_mlp,25,VALID,0.3875393783488361,0.38860048963526916,-0.0010611112864330474,0.7289415097094665,0.7306941117994565,-0.001752602089990063
qnn_minus_pca_matched_fixed_l2_logistic,25,VALID,0.3875393783488361,0.3749390061350806,0.01260037221375554,0.7289415097094665,0.7283498122571277,0.0005916974523387797
xgboost_minus_hist_gradient_boosting,26,VALID,0.39074443004650805,0.3869441538981773,0.003800276148330728,0.7464080425390041,0.7460862037885929,0.00032183875041114085
xgboost_minus_random_forest,26,VALID,0.39074443004650805,0.3915006082794255,-0.0007561782329174593,0.7464080425390041,0.745073514146434,0.001334528392570089
qnn_minus_pca_matched_mlp,26,VALID,0.37365069078495206,0.37679965157078166,-0.003148960785829602,0.7283982047220336,0.7304375423164687,-0.0020393375944350867
qnn_minus_pca_matched_fixed_l2_logistic,26,VALID,0.37365069078495206,0.3671283804072442,0.006522310377707841,0.7283982047220336,0.7285173915986242,-0.00011918687659051574
xgboost_minus_hist_gradient_boosting,27,VALID,0.40690487347350024,0.39912451091950324,0.007780362553997,0.7654653916984143,0.7638874919421232,0.001577899756291079
xgboost_minus_random_forest,27,VALID,0.40690487347350024,0.40420479055766473,0.002700082915835511,0.7654653916984143,0.7646468156313132,0.0008185760671011177
qnn_minus_pca_matched_mlp,27,VALID,0.3834955080685669,0.38917707685531044,-0.005681568786743529,0.7476312894240461,0.750409660221854,-0.00277837079780785
qnn_minus_pca_matched_fixed_l2_logistic,27,VALID,0.3834955080685669,0.3831813011510935,0.0003142069174734141,0.7476312894240461,0.748983375092861,-0.0013520856688148397
xgboost_minus_hist_gradient_boosting,28,VALID,0.40895337260058257,0.4029638810718301,0.005989491528752444,0.7594377952942016,0.7583884632508504,0.0010493320433512254
xgboost_minus_random_forest,28,VALID,0.40895337260058257,0.40848843721879036,0.0004649353817922086,0.7594377952942016,0.7570518340541188,0.0023859612400828345
qnn_minus_pca_matched_mlp,28,VALID,0.39409691131343366,0.38135830231258805,0.012738609000845613,0.7432895248497692,0.7432782181883388,1.1306661430343645e-05
qnn_minus_pca_matched_fixed_l2_logistic,28,VALID,0.39409691131343366,0.3696320011386577,0.024464910174775978,0.7432895248497692,0.7420631213976352,0.001226403452133984
xgboost_minus_hist_gradient_boosting,29,VALID,0.42164400601833274,0.4201897461991904,0.0014542598191423228,0.7624668991789869,0.7621177430737296,0.00034915610525732
xgboost_minus_random_forest,29,VALID,0.42164400601833274,0.41435665986099596,0.007287346157336783,0.7624668991789869,0.7589036862427443,0.0035632129362426213
qnn_minus_pca_matched_mlp,29,VALID,0.3904476128357802,0.4026695428024898,-0.012221929966709566,0.7386687538116453,0.74456012438767,-0.005891370576024735
qnn_minus_pca_matched_fixed_l2_logistic,29,VALID,0.3904476128357802,0.3877637222654965,0.0026838905702837312,0.7386687538116453,0.7398590560463383,-0.0011903022346929637
xgboost_minus_hist_gradient_boosting,30,VALID,0.42456676687261174,0.41695616105263233,0.00761060581997941,0.7648849473054385,0.7637558346625879,0.0011291126428506493
xgboost_minus_random_forest,30,VALID,0.42456676687261174,0.419825497458041,0.004741269414570759,0.7648849473054385,0.7643673973006672,0.0005175500047713832
qnn_minus_pca_matched_mlp,30,VALID,0.39967067436753123,0.42047713337899884,-0.020806459011467604,0.7485805392605349,0.7500493523925904,-0.001468813132055491
qnn_minus_pca_matched_fixed_l2_logistic,30,VALID,0.39967067436753123,0.4105740517857097,-0.010903377418178484,0.7485805392605349,0.7490405962718762,-0.0004600570113413305
xgboost_minus_hist_gradient_boosting,31,VALID,0.4166368020130013,0.4147325624653581,0.0019042395476431828,0.7541815160630583,0.7550666979884886,-0.0008851819254303006
xgboost_minus_random_forest,31,VALID,0.4166368020130013,0.4187181800688744,-0.0020813780558731065,0.7541815160630583,0.7549060973420709,-0.0007245812790126482
qnn_minus_pca_matched_mlp,31,VALID,0.3995536741468668,0.40173820311575986,-0.0021845289688930403,0.7350655780102964,0.7376754559127159,-0.0026098779024195107
qnn_minus_pca_matched_fixed_l2_logistic,31,VALID,0.3995536741468668,0.38509250545817075,0.014461168688696069,0.7350655780102964,0.7353347719300594,-0.0002691939197629889
xgboost_minus_hist_gradient_boosting,32,VALID,0.415602064262351,0.4078129301916756,0.007789134070675441,0.7548210978818927,0.7523650286658037,0.002456069216088985
xgboost_minus_random_forest,32,VALID,0.415602064262351,0.4083425704926288,0.007259493769722236,0.7548210978818927,0.7528283198183847,0.0019927780635079495
qnn_minus_pca_matched_mlp,32,VALID,0.3761647271222164,0.3865128215341486,-0.01034809441193224,0.7339555726647511,0.7388612517082676,-0.004905679043516464
qnn_minus_pca_matched_fixed_l2_logistic,32,VALID,0.3761647271222164,0.3730913312902292,0.00307339583198718,0.7339555726647511,0.7336635969649712,0.00029197569977990057
xgboost_minus_hist_gradient_boosting,33,VALID,0.4214807071229492,0.4154748008456085,0.006005906277340711,0.763745523133561,0.7630695630596328,0.0006759600739282279
xgboost_minus_random_forest,33,VALID,0.4214807071229492,0.4128064734798276,0.008674233643121643,0.763745523133561,0.7617172778315537,0.002028245302007292
qnn_minus_pca_matched_mlp,33,VALID,0.38929767183151837,0.39324722095060277,-0.003949549119084406,0.7420814380521206,0.743721153747863,-0.0016397156957423942
qnn_minus_pca_matched_fixed_l2_logistic,33,VALID,0.38929767183151837,0.3807641985773213,0.008533473254197066,0.7420814380521206,0.7393222178949295,0.0027592201571911
xgboost_minus_hist_gradient_boosting,34,VALID,0.3985049966263797,0.40114536963876335,-0.0026403730123836233,0.7588516761904989,0.7587965993593135,5.507683118533002e-05
xgboost_minus_random_forest,34,VALID,0.3985049966263797,0.3868958871357841,0.011609109490595626,0.7588516761904989,0.7556004388649161,0.0032512373255827454
qnn_minus_pca_matched_mlp,34,VALID,0.3666926247161591,0.3815372417453368,-0.01484461702917772,0.733284636211423,0.7382677970170798,-0.00498316080565675
