dimension,group,observations,x_core_available,x_core_coverage,target_available,target_coverage,supervised_L_available,supervised_L_coverage
historical_sic,3634.0,34,24,0.7058823529411765,10,0.29411764705882354,10,0.29411764705882354
historical_sic,3640.0,179,149,0.8324022346368715,94,0.5251396648044693,93,0.5195530726256983
historical_sic,3651.0,110,77,0.7,51,0.4636363636363636,49,0.44545454545454544
historical_sic,3652.0,34,19,0.5588235294117647,11,0.3235294117647059,10,0.29411764705882354
historical_sic,3661.0,263,219,0.8326996197718631,161,0.6121673003802282,159,0.6045627376425855
historical_sic,3663.0,465,408,0.8774193548387097,239,0.513978494623656,233,0.5010752688172043
historical_sic,3669.0,350,282,0.8057142857142857,156,0.44571428571428573,149,0.4257142857142857
historical_sic,3670.0,180,151,0.8388888888888889,140,0.7777777777777778,133,0.7388888888888889
historical_sic,3672.0,166,158,0.9518072289156626,147,0.8855421686746988,144,0.8674698795180723
historical_sic,3674.0,1235,1090,0.8825910931174089,763,0.6178137651821862,742,0.6008097165991902
historical_sic,3677.0,22,21,0.9545454545454546,20,0.9090909090909091,20,0.9090909090909091
historical_sic,3678.0,50,47,0.94,37,0.74,37,0.74
historical_sic,3679.0,213,186,0.8732394366197183,143,0.6713615023474179,139,0.6525821596244131
historical_sic,3690.0,328,271,0.8262195121951219,187,0.5701219512195121,178,0.5426829268292683
historical_sic,3695.0,22,19,0.8636363636363636,10,0.45454545454545453,10,0.45454545454545453
historical_sic,3711.0,204,162,0.7941176470588235,87,0.4264705882352941,85,0.4166666666666667
historical_sic,3713.0,33,25,0.7575757575757576,21,0.6363636363636364,21,0.6363636363636364
historical_sic,3714.0,559,472,0.8443649373881932,324,0.5796064400715564,315,0.5635062611806798
historical_sic,3715.0,16,12,0.75,12,0.75,12,0.75
historical_sic,3716.0,24,22,0.9166666666666666,22,0.9166666666666666,21,0.875
historical_sic,3720.0,45,31,0.6888888888888889,24,0.5333333333333333,23,0.5111111111111111
historical_sic,3721.0,71,60,0.8450704225352113,21,0.29577464788732394,20,0.28169014084507044
historical_sic,3724.0,42,39,0.9285714285714286,30,0.7142857142857143,29,0.6904761904761905
historical_sic,3728.0,112,104,0.9285714285714286,76,0.6785714285714286,73,0.6517857142857143
historical_sic,3730.0,71,62,0.8732394366197183,44,0.6197183098591549,42,0.5915492957746479
historical_sic,3743.0,55,30,0.5454545454545454,22,0.4,21,0.38181818181818183
historical_sic,3751.0,93,78,0.8387096774193549,47,0.5053763440860215,47,0.5053763440860215
historical_sic,3760.0,55,53,0.9636363636363636,33,0.6,33,0.6
historical_sic,3790.0,51,35,0.6862745098039216,16,0.3137254901960784,15,0.29411764705882354
historical_sic,3812.0,127,116,0.9133858267716536,70,0.5511811023622047,69,0.5433070866141733
historical_sic,3821.0,51,41,0.803921568627451,32,0.6274509803921569,29,0.5686274509803921
historical_sic,3822.0,34,27,0.7941176470588235,15,0.4411764705882353,14,0.4117647058823529
historical_sic,3823.0,233,203,0.871244635193133,118,0.5064377682403434,118,0.5064377682403434
historical_sic,3824.0,17,15,0.8823529411764706,12,0.7058823529411765,12,0.7058823529411765
historical_sic,3825.0,178,158,0.8876404494382022,111,0.6235955056179775,105,0.5898876404494382
historical_sic,3826.0,315,285,0.9047619047619048,151,0.4793650793650794,149,0.473015873015873
historical_sic,3827.0,69,62,0.8985507246376812,53,0.7681159420289855,50,0.7246376811594203
historical_sic,3829.0,274,222,0.8102189781021898,113,0.4124087591240876,108,0.39416058394160586
historical_sic,3841.0,1510,1346,0.8913907284768212,786,0.5205298013245033,776,0.5139072847682119
historical_sic,3842.0,397,320,0.8060453400503779,177,0.44584382871536526,170,0.4282115869017632
historical_sic,3843.0,75,63,0.84,47,0.6266666666666667,44,0.5866666666666667
historical_sic,3844.0,34,24,0.7058823529411765,9,0.2647058823529412,8,0.23529411764705882
historical_sic,3845.0,515,462,0.8970873786407767,265,0.5145631067961165,256,0.4970873786407767
historical_sic,3851.0,44,42,0.9545454545454546,32,0.7272727272727273,32,0.7272727272727273
historical_sic,3861.0,83,53,0.6385542168674698,31,0.37349397590361444,29,0.3493975903614458
historical_sic,3873.0,25,22,0.88,23,0.92,22,0.88
historical_sic,3910.0,26,24,0.9230769230769231,20,0.7692307692307693,20,0.7692307692307693
historical_sic,3911.0,10,5,0.5,3,0.3,2,0.2
historical_sic,3931.0,7,4,0.5714285714285714,3,0.42857142857142855,3,0.42857142857142855
historical_sic,3942.0,17,15,0.8823529411764706,12,0.7058823529411765,12,0.7058823529411765
historical_sic,3944.0,81,68,0.8395061728395061,51,0.6296296296296297,48,0.5925925925925926
historical_sic,3949.0,148,131,0.8851351351351351,73,0.49324324324324326,72,0.4864864864864865
historical_sic,3950.0,2,0,0.0,0,0.0,0,0.0
historical_sic,3960.0,1,1,1.0,0,0.0,0,0.0
historical_sic,3990.0,217,171,0.7880184331797235,104,0.4792626728110599,98,0.45161290322580644
