research_universe_company_year_id,cik10,feature_year,anchor_accession,primitive,tag,value,start,end,review_outcome
0001604416-2017,0001604416,2017,0001628280-17-012179,net_income,NetIncomeLoss,14400000.0,2016-10-01,2017-09-30,PASS_exact_companyfacts_record
0001604416-2017,0001604416,2017,0001628280-17-012179,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,78600000.0,2016-10-01,2017-09-30,PASS_exact_companyfacts_record
0000027093-2020,0000027093,2020,0001493152-20-013170,assets,Assets,9834233.0,,2020-04-30,PASS_exact_companyfacts_record
0000027093-2020,0000027093,2020,0001493152-20-013170,liabilities,Liabilities,326232.0,,2020-04-30,PASS_exact_companyfacts_record
0000027093-2020,0000027093,2020,0001493152-20-013170,current_assets,AssetsCurrent,3181747.0,,2020-04-30,PASS_exact_companyfacts_record
0000027093-2020,0000027093,2020,0001493152-20-013170,current_liabilities,LiabilitiesCurrent,157840.0,,2020-04-30,PASS_exact_companyfacts_record
0000027093-2020,0000027093,2020,0001493152-20-013170,net_income,NetIncomeLoss,-5249350.0,2019-05-01,2020-04-30,PASS_exact_companyfacts_record
0000027093-2020,0000027093,2020,0001493152-20-013170,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,-3897743.0,2019-05-01,2020-04-30,PASS_exact_companyfacts_record
0001286613-2021,0001286613,2021,0001140361-22-007738,assets,Assets,295299000.0,,2021-12-31,PASS_exact_companyfacts_record
0001286613-2021,0001286613,2021,0001140361-22-007738,liabilities,Liabilities,153899000.0,,2021-12-31,PASS_exact_companyfacts_record
0001286613-2021,0001286613,2021,0001140361-22-007738,current_assets,AssetsCurrent,121627000.0,,2021-12-31,PASS_exact_companyfacts_record
0001286613-2021,0001286613,2021,0001140361-22-007738,current_liabilities,LiabilitiesCurrent,65882000.0,,2021-12-31,PASS_exact_companyfacts_record
0001286613-2021,0001286613,2021,0001140361-22-007738,net_income,NetIncomeLoss,34718000.0,2021-01-01,2021-12-31,PASS_exact_companyfacts_record
0001286613-2021,0001286613,2021,0001140361-22-007738,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,27447000.0,2021-01-01,2021-12-31,PASS_exact_companyfacts_record
0000840715-2016,0000840715,2016,0001493152-17-002516,assets,Assets,88124000.0,,2016-12-31,PASS_exact_companyfacts_record
0000840715-2016,0000840715,2016,0001493152-17-002516,liabilities,Liabilities,10675000.0,,2016-12-31,PASS_exact_companyfacts_record
0000840715-2016,0000840715,2016,0001493152-17-002516,current_assets,AssetsCurrent,40140000.0,,2016-12-31,PASS_exact_companyfacts_record
