historical_sic,historical_sic_description,company_years,unique_ciks
3861.0,PHOTOGRAPHIC EQUIPMENT & SUPPLIES,94,15
4812.0,RADIOTELEPHONE COMMUNICATIONS,94,17
5150.0,WHOLESALE-FARM PRODUCT RAW MATERIALS,94,11
5621.0,RETAIL-WOMEN'S CLOTHING STORES,94,17
3480.0,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)",92,10
3721.0,AIRCRAFT,91,17
3944.0,"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)",91,15
8011.0,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,90,25
3580.0,REFRIGERATION & SERVICE INDUSTRY MACHINERY,89,16
3140.0,"FOOTWEAR, (NO RUBBER)",88,11
3523.0,FARM MACHINERY & EQUIPMENT,88,13
3310.0,"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS",87,11
3564.0,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP,87,12
2430.0,"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS",86,14
3843.0,DENTAL EQUIPMENT & SUPPLIES,86,15
5047.0,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES",85,13
1220.0,BITUMINOUS COAL & LIGNITE MINING,84,17
2670.0,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),84,16
3540.0,METALWORKG MACHINERY & EQUIPMENT,84,10
3730.0,SHIP & BOAT BUILDING & REPAIRING,84,10
5030.0,WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS,84,13
5200.0,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",83,9
5400.0,RETAIL-FOOD STORES,83,18
2650.0,PAPERBOARD CONTAINERS & BOXES,82,15
3630.0,HOUSEHOLD APPLIANCES,82,12
7948.0,"SERVICES-RACING, INCLUDING TRACK OPERATION",82,14
3827.0,OPTICAL INSTRUMENTS & LENSES,81,11
5051.0,WHOLESALE-METALS SERVICE CENTERS & OFFICES,81,13
8060.0,SERVICES-HOSPITALS,80,10
1520.0,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,79,19
2840.0,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",79,11
2820.0,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",78,9
3060.0,"FABRICATED RUBBER PRODUCTS, NEC",78,10
5084.0,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,78,10
7381.0,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",78,16
2721.0,PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING,77,21
5172.0,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS),77,11
8050.0,SERVICES-NURSING & PERSONAL CARE FACILITIES,76,16
5661.0,RETAIL-SHOE STORES,75,8
2082.0,MALT BEVERAGES,74,10
4522.0,"AIR TRANSPORTATION, NONSCHEDULED",74,17
2731.0,BOOKS: PUBLISHING OR PUBLISHING & PRINTING,72,12
5160.0,WHOLESALE-CHEMICALS & ALLIED PRODUCTS,72,14
2851.0,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS",71,9
3460.0,METAL FORGINGS & STAMPINGS,71,6
7361.0,SERVICES-EMPLOYMENT AGENCIES,71,11
2400.0,LUMBER & WOOD PRODUCTS (NO FURNITURE),70,9
3100.0,LEATHER & LEATHER PRODUCTS,70,9
8051.0,SERVICES-SKILLED NURSING CARE FACILITIES,70,8
3550.0,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),69,8
3578.0,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS),69,8
5171.0,WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS,69,12
3570.0,COMPUTER & OFFICE EQUIPMENT,68,8
5063.0,"WHOLESALE-ELECTRICAL APPARATUS & EQUIPMENT, WIRING SUPPLIES",68,9
5130.0,"WHOLESALE-APPAREL, PIECE GOODS & NOTIONS",68,11
7819.0,SERVICES-ALLIED TO MOTION PICTURE PRODUCTION,68,17
7997.0,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS,68,16
3760.0,GUIDED MISSILES & SPACE VEHICLES & PARTS,67,11
5000.0,WHOLESALE-DURABLE GOODS,67,9
2020.0,DAIRY PRODUCTS,66,17
2070.0,FATS & OILS,66,9
3790.0,MISCELLANEOUS TRANSPORTATION EQUIPMENT,66,14
7340.0,SERVICES-TO DWELLINGS & OTHER BUILDINGS,64,13
3743.0,RAILROAD EQUIPMENT,63,5
1731.0,ELECTRICAL WORK,60,5
5731.0,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES",59,12
2842.0,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS",58,16
3080.0,MISCELLANEOUS PLASTICS PRODUCTS,58,11
3678.0,ELECTRONIC CONNECTORS,58,5
3851.0,OPHTHALMIC GOODS,58,9
5944.0,RETAIL-JEWELRY STORES,58,9
3081.0,UNSUPPORTED PLASTICS FILM & SHEET,57,7
3470.0,"COATING, ENGRAVING & ALLIED SERVICES",57,11
3357.0,DRAWING & INSULATING OF NONFERROUS WIRE,55,7
3821.0,LABORATORY APPARATUS & FURNITURE,55,5
2451.0,MOBILE HOMES,54,5
7500.0,"SERVICES-AUTOMOTIVE REPAIR, SERVICES & PARKING",54,13
8700.0,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",53,10
2330.0,"WOMEN'S, MISSES', AND JUNIORS OUTERWEAR",52,12
5734.0,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,52,7
2050.0,BAKERY PRODUCTS,51,10
3720.0,AIRCRAFT & PARTS,51,6
3724.0,AIRCRAFT ENGINES & ENGINE PARTS,51,6
3272.0,"CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK",50,8
3443.0,FABRICATED PLATE WORK (BOILER SHOPS),50,7
5013.0,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS,49,10
3433.0,"HEATING EQUIPMENT, EXCEPT ELECTRIC & WARM AIR FURNACES",48,12
5010.0,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES,48,12
7000.0,"HOTELS, ROOMING HOUSES, CAMPS & OTHER LODGING PLACES",48,7
7600.0,SERVICES-MISCELLANEOUS REPAIR SERVICES,48,9
3021.0,RUBBER & PLASTICS FOOTWEAR,47,5
3317.0,STEEL PIPE & TUBES,47,5
4513.0,AIR COURIER SERVICES,47,4
2100.0,TOBACCO PRODUCTS,46,8
3600.0,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),46,8
5712.0,RETAIL-FURNITURE STORES,46,7
7822.0,SERVICES-MOTION PICTURE & VIDEO TAPE DISTRIBUTION,46,11
1540.0,GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS,44,11
3411.0,METAL CANS,44,5
7330.0,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY",44,7
8734.0,SERVICES-TESTING LABORATORIES,44,13
2015.0,POULTRY SLAUGHTERING AND PROCESSING,43,5
3713.0,TRUCK & BUS BODIES,43,7
4822.0,TELEGRAPH & OTHER MESSAGE COMMUNICATIONS,43,10
2273.0,CARPETS & RUGS,42,3
3442.0,"METAL DOORS, SASH, FRAMES, MOLDINGS & TRIM",41,5
3562.0,BALL & ROLLER BEARINGS,40,4
3634.0,ELECTRIC HOUSEWARES & FANS,40,7
