research_universe_company_year_id,cik10,feature_year,research_sector,anchor_accession,review_categories,resolver_status,resolver_reason,tag,statement_file,statement_label,statement_concepts,resolver_current_value,resolver_current_end,direct_statement_value,direct_value_matches,exact_accession,review_outcome
0001376231-2011,0001376231,2011,Technology,0001376231-12-000002,ambiguous_primary_statement_revenue_annual_values_not_confirmed,ambiguous,primary_statement_revenue_annual_values_not_confirmed,,,,,,,,False,0001376231-12-000002,PASS_fail_closed_no_value
0001376231-2016,0001376231,2016,Technology,0001580957-17-000309,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,SALES,us-gaap:Revenues,1580676.0,2016-12-31,1580676.0,True,0001580957-17-000309,PASS_primary_statement_value_confirmed
0001384135-2013,0001384135,2013,Industrials_Manufacturing,0001185185-14-000958,available_sector_Industrials_Manufacturing,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueNet,R4.htm,Net sales,us-gaap:SalesRevenueNet,44709526.0,2013-12-31,44709526.0,True,0001185185-14-000958,PASS_primary_statement_value_confirmed
0001442145-2013,0001442145,2013,Technology,0001442145-14-000008,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,SalesRevenueServicesNet,R4.htm,"Revenues (including amounts from related parties of $13,882, in 2011, Note 19)",us-gaap:SalesRevenueServicesNet,1595703000.0,2013-12-31,1595703000.0,True,0001442145-14-000008,PASS_primary_statement_value_confirmed
0001449574-2015,0001449574,2015,Technology,0001477932-17-003466,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Total sales,us-gaap:Revenues,391872.0,2016-03-31,391872.0,True,0001477932-17-003466,PASS_primary_statement_value_confirmed
0001469510-2015,0001469510,2015,Extended_Candidate,0001564590-16-014121,ambiguous_primary_statement_revenue_concept_not_admissible,ambiguous,primary_statement_revenue_concept_not_admissible,,,,,,,,False,0001564590-16-014121,PASS_fail_closed_no_value
0001471458-2012,0001471458,2012,Retail,0001193125-13-140243,ambiguous_primary_statement_revenue_fact_context_not_confirmed,ambiguous,primary_statement_revenue_fact_context_not_confirmed,,,,,,,,False,0001193125-13-140243,PASS_fail_closed_no_value
0001482541-2012,0001482541,2012,Extended_Candidate,0001393905-13-000170,ambiguous_primary_statement_revenue_fact_context_not_confirmed,ambiguous,primary_statement_revenue_fact_context_not_confirmed,,,,,,,,False,0001393905-13-000170,PASS_fail_closed_no_value
0001482541-2014,0001482541,2014,Extended_Candidate,0001493152-15-001473,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Revenue,us-gaap:Revenues,1838912.0,2014-12-31,1838912.0,True,0001493152-15-001473,PASS_primary_statement_value_confirmed
0001487712-2021,0001487712,2021,Extended_Candidate,0001628280-22-003016,available_year_2021,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R5.htm,Total revenues,us-gaap:Revenues,2088389000.0,2021-12-31,2088389000.0,True,0001628280-22-003016,PASS_primary_statement_value_confirmed
0001524025-2019,0001524025,2019,Retail,0001628280-20-004436,available_year_2019,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerIncludingAssessedTax,R4.htm,Net sales,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,619300000.0,2020-02-01,619300000.0,True,0001628280-20-004436,PASS_primary_statement_value_confirmed
0001562151-2018,0001562151,2018,Industrials_Manufacturing,0001562151-19-000011,available_year_2018,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerExcludingAssessedTax,R4.htm,Net sales,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,67766000.0,2018-12-31,67766000.0,True,0001562151-19-000011,PASS_primary_statement_value_confirmed
0001562733-2015,0001562733,2015,Industrials_Manufacturing,0001493152-16-008381,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Revenue,us-gaap:Revenues,13456377.0,2015-12-31,13456377.0,True,0001493152-16-008381,PASS_primary_statement_value_confirmed
0001589149-2021,0001589149,2021,Extended_Candidate,0001493152-22-009893,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Revenues,us-gaap:Revenues,8098036.0,2021-12-31,8098036.0,True,0001493152-22-009893,PASS_primary_statement_value_confirmed
0001595974-2018,0001595974,2018,Technology,0001595974-19-000043,ambiguous_exact_anchor_annual_current_context_unresolved,ambiguous,exact_anchor_annual_current_context_unresolved,,,,,,,,False,0001595974-19-000043,PASS_fail_closed_no_value
0001607962-2019,0001607962,2019,Industrials_Manufacturing,0001213900-20-004363,available_year_2019,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Revenues,us-gaap:Revenues,4873000.0,2019-12-31,4873000.0,True,0001213900-20-004363,PASS_primary_statement_value_confirmed
0001608430-2017,0001608430,2017,Industrials_Manufacturing,0001477932-18-000483,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Revenues (Note 5),us-gaap:Revenues,730593.0,2017-09-30,730593.0,True,0001477932-18-000483,PASS_primary_statement_value_confirmed
0001615999-2018,0001615999,2018,Industrials_Manufacturing,0001078782-19-000306,distinct_tag_label_pair,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,TOTAL NET REVENUES,us-gaap:Revenues,173889.0,2018-12-31,173889.0,True,0001078782-19-000306,PASS_primary_statement_value_confirmed
0001726822-2022,0001726822,2022,Industrials_Manufacturing,0001829126-23-001983,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,"Revenue, net",us-gaap:Revenues,296597.0,2022-12-31,296597.0,True,0001829126-23-001983,PASS_primary_statement_value_confirmed
0001756640-2019,0001756640,2019,Technology,0001493152-20-008301,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerExcludingAssessedTax,R4.htm,REVENUE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,5534822.0,2019-12-31,5534822.0,True,0001493152-20-008301,PASS_primary_statement_value_confirmed
0001766352-2020,0001766352,2020,Technology,0001553350-21-000027,largest_revenue_change,selected,primary_statement_consolidated_revenue_confirmed,Revenues,R4.htm,Revenue,us-gaap:Revenues,5143430.0,2020-09-30,5143430.0,True,0001553350-21-000027,PASS_primary_statement_value_confirmed
0001794905-2022,0001794905,2022,Technology,0001794905-23-000010,available_year_2022,selected,primary_statement_consolidated_revenue_confirmed,RevenueFromContractWithCustomerExcludingAssessedTax,R5.htm,Revenues,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,746000000.0,2022-12-31,746000000.0,True,0001794905-23-000010,PASS_primary_statement_value_confirmed
