research_universe_company_year_id,accession,feature_year,cik10,company_name_historical,historical_sic,research_sector,registrant_role,registrant_role_resolved,joint_filing_flag,accession_registrant_count,eligible_observation_count,xbrl_instance,scope_status,scope_reason,statement_entity_ciks,manual_series_id,manual_evidence,non_operating_issuer_ciks,economic_entity_status,recommended_membership_action,economic_entity_reason,economic_group_id,economic_statement_scope_id,potential_non_operating_finance_registrant
0001161364-2018,0001193125-19-069171,2018,0001161364,MEDIACOM BROADBAND LLC,4841.0,Extended_Candidate,primary_xbrl_registrant,joint_primary_registrant,True,,2,mcccb-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0001161364,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0001161364,0001193125-19-069171:0001161364,False
0001161366-2018,0001193125-19-069171,2018,0001161366,MEDIACOM BROADBAND CORP,4841.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,joint_co_registrant,True,,2,mcccb-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0001161364,,,,co_registrant_sharing_same_consolidated_statements,exclude_duplicate_registrant_row,registrant_has_no_distinct_primary_statement_suite,joint_group_0001161364,0001193125-19-069171:0001161364,False
0001752836-2018,0001193125-19-092756,2018,0001752836,"COVETRUS, INC.",5912.0,Retail,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001752836,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001752836,0001193125-19-092756:0001752836,False
0001724009-2018,0001193125-19-094607,2018,0001724009,PermRock Royalty Trust,1311.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001724009,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001724009,0001193125-19-094607:0001724009,False
0001758488-2018,0001193125-19-137441,2018,0001758488,ONESPAWORLD HOLDINGS Ltd,7997.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001758488,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001758488,0001193125-19-137441:0001758488,False
0001014052-2018,0001213900-18-016037,2018,0001014052,"Digerati Technologies, Inc.",4813.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001014052,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001014052,0001213900-18-016037:0001014052,False
0000845385-2018,0001213900-19-006448,2018,0000845385,PRINCETON CAPITAL CORP,3564.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000845385,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000845385,0001213900-19-006448:0000845385,True
0001271833-2018,0001271833-19-000004,2018,0001271833,CCO HOLDINGS LLC,4841.0,Extended_Candidate,primary_xbrl_registrant,joint_primary_registrant,True,,2,ccoh-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0001271833,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0001271833,0001271833-19-000004:0001271833,False
0001271834-2018,0001271833-19-000004,2018,0001271834,CCO HOLDINGS CAPITAL CORP,4841.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,joint_co_registrant,True,,2,ccoh-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0001271833,,,,co_registrant_sharing_same_consolidated_statements,exclude_duplicate_registrant_row,registrant_has_no_distinct_primary_statement_suite,joint_group_0001271833,0001271833-19-000004:0001271833,False
0001282266-2018,0001282266-19-000019,2018,0001282266,"WINDSTREAM HOLDINGS, INC.",4813.0,Extended_Candidate,primary_xbrl_registrant,joint_primary_registrant,True,,2,win-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0001282266;0001585644,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0001282266,0001282266-19-000019:0001282266,False
0001585644-2018,0001282266-19-000019,2018,0001585644,"WINDSTREAM SERVICES, LLC",4813.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,joint_co_registrant,True,,2,win-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0001282266;0001585644,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0001282266,0001282266-19-000019:0001585644,False
0001345122-2018,0001345126-19-000008,2018,0001345122,Compass Group Diversified Holdings LLC,2990.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,joint_co_registrant,True,,2,codi-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0001345126,,,,co_registrant_sharing_same_consolidated_statements,exclude_duplicate_registrant_row,registrant_has_no_distinct_primary_statement_suite,joint_group_0001345122,0001345126-19-000008:0001345126,False
0001345126-2018,0001345126-19-000008,2018,0001345126,COMPASS DIVERSIFIED HOLDINGS,2510.0,Industrials_Manufacturing,primary_xbrl_registrant,joint_primary_registrant,True,,2,codi-20181231.xml,resolved,primary_10k_distinct_statement_sets_mapped,0001345126,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,registrant_cik_matches_distinct_primary_statement_suite,joint_group_0001345122,0001345126-19-000008:0001345126,False
0001377848-2018,0001377848-19-000005,2018,0001377848,"ICON LEASING FUND TWELVE, LLC",7359.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001377848,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001377848,0001377848-19-000005:0001377848,False
0001380277-2018,0001380277-18-000001,2018,0001380277,"INFRAX SYSTEMS, INC.",7373.0,Technology,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001380277,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001380277,0001380277-18-000001:0001380277,False
0001430306-2018,0001387131-19-001980,2018,0001430306,Tonix Pharmaceuticals Holding Corp.,2834.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001430306,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001430306,0001387131-19-001980:0001430306,False
0001434601-2018,0001391609-18-000234,2018,0001434601,MUSIC OF YOUR LIFE INC,4832.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001434601,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001434601,0001391609-18-000234:0001434601,False
0001607721-2018,0001391609-18-000236,2018,0001607721,"Arazu, Inc",3714.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001607721,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001607721,0001391609-18-000236:0001607721,False
0001440153-2018,0001391609-18-000325,2018,0001440153,"Bakhu Holdings, Corp.",1040.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001440153,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001440153,0001391609-18-000325:0001440153,False
0001673431-2018,0001391609-19-000073,2018,0001673431,IA Energy Corp.,2800.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001673431,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001673431,0001391609-19-000073:0001673431,False
0001592603-2018,0001391609-19-000076,2018,0001592603,"Gulf West Security Network, Inc.",7381.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001592603,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001592603,0001391609-19-000076:0001592603,False
0001399306-2018,0001399306-18-000026,2018,0001399306,Simlatus Corp,3663.0,Technology,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001399306,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001399306,0001399306-18-000026:0001399306,False
0001434389-2018,0001434389-20-000007,2018,0001434389,"UNIVERSAL SOLAR TECHNOLOGY, INC.",3433.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0001434389,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0001434389,0001434389-20-000007:0001434389,False
0000946486-2018,0001437749-19-007339,2018,0000946486,WINDTREE THERAPEUTICS INC /DE/,2836.0,Industrials_Manufacturing,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000946486,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000946486,0001437749-19-007339:0000946486,False
0000874292-2018,0001445260-18-000055,2018,0000874292,ADDVANTAGE TECHNOLOGIES GROUP INC,5000.0,Extended_Candidate,co_registrant_or_non_xbrl_registrant,single_filer_non_xbrl_registrant,False,1.0,1,,resolved,exactly_one_registrant_in_accession,0000874292,,,,separate_reporting_entity_with_own_statements,retain_one_economic_entity,single_filer_original_10k,single_0000874292,0001445260-18-000055:0000874292,False
