rank,family,family_label,configuration_id,model_configuration,feature_block,parameters_display,training_seed,status,failure_code,convergence_status,pooled_oof_n,pooled_oof_positive_n,pooled_oof_positive_share,pooled_oof_pr_auc,pooled_oof_roc_auc,fold_pr_auc_mean,fold_pr_auc_sample_sd,runtime_seconds,delta_pr_auc_vs_dummy,delta_pr_auc_vs_fixed_l2,identity
116,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__006,Regresja logistyczna Elastic Net | model_stage_v1__coarse__elastic_net_logistic__006,L+D+R,"{""C"": 0.1, ""imbalance"": ""sqrt"", ""l1_ratio"": 0.0}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38175523198768058,0.73903511037256231,0.38288696096614405,0.052739941137267925,13.685478708997834,0.20947208106487017,0.00010038005918344695,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__006|seed=20260818
117,fixed_l2_logistic,Regresja logistyczna fixed L2,model_stage_v1__coarse__fixed_l2_logistic__002,Regresja logistyczna fixed L2 | model_stage_v1__coarse__fixed_l2_logistic__002,L+D+R,"{""C"": 1.0, ""imbalance"": ""sqrt""}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38165485192849713,0.73870392267183238,0.3825843800394651,0.051957661286278309,11.302934542065486,0.20937170100568672,0,fixed_l2_logistic|L+D+R|model_stage_v1__coarse__fixed_l2_logistic__002|seed=20260818
118,pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__006,MLP (PyTorch) | model_stage_v1__coarse__pytorch_mlp__epochs_200__006,L,"{""activation"": ""relu"", ""batch_size"": 64, ""epochs"": 200, ""hidden_layer_sizes"": [64], ""imbalance"": ""none"", ""learning_rate"": 0.0003, ""weight_decay"": 0.0001}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38156237506825313,0.74710407316682936,0.3841171418000171,0.067470705028244246,118.12227816594532,0.20927922414544273,-9.2476860243995151e-05,pytorch_mlp|L|model_stage_v1__coarse__pytorch_mlp__epochs_200__006|seed=20260818
119,rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__003,SVM RBF | model_stage_v1__coarse__rbf_svm__003,L+D,"{""C"": 1.0, ""gamma"": ""scale"", ""imbalance"": ""sqrt""}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38149207212168734,0.72519297379353209,0.388771580267605,0.060256249391610325,38.06580354104517,0.20920892119887693,-0.00016277980680978743,rbf_svm|L+D|model_stage_v1__coarse__rbf_svm__003|seed=20260818
120,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__005,Regresja logistyczna Elastic Net | model_stage_v1__coarse__elastic_net_logistic__005,L+D+R,"{""C"": 0.1, ""imbalance"": ""none"", ""l1_ratio"": 1.0}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38125639699638592,0.73882478236646731,0.38367057764345613,0.054334364634120461,15.690598373941611,0.20897324607357551,-0.00039845493211121408,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__005|seed=20260818
121,elastic_net_logistic,Regresja logistyczna Elastic Net,model_stage_v1__coarse__elastic_net_logistic__009,Regresja logistyczna Elastic Net | model_stage_v1__coarse__elastic_net_logistic__009,L+D+R,"{""C"": 1.0, ""imbalance"": ""sqrt"", ""l1_ratio"": 1.0}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38121746493692849,0.73864154162336737,0.3826998009305515,0.052236632034575591,53.789663748990279,0.20893431401411808,-0.00043738699156864458,elastic_net_logistic|L+D+R|model_stage_v1__coarse__elastic_net_logistic__009|seed=20260818
122,rbf_svm,SVM RBF,model_stage_v1__coarse__rbf_svm__010,SVM RBF | model_stage_v1__coarse__rbf_svm__010,L+D,"{""C"": 10.0, ""gamma"": 0.01, ""imbalance"": ""sqrt""}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.3809156045631088,0.71879951890266292,0.38561430904557542,0.052686210780311674,39.107647207041737,0.20863245364029839,-0.00073924736538832914,rbf_svm|L+D|model_stage_v1__coarse__rbf_svm__010|seed=20260818
123,pytorch_mlp,MLP (PyTorch),model_stage_v1__coarse__pytorch_mlp__epochs_200__003,MLP (PyTorch) | model_stage_v1__coarse__pytorch_mlp__epochs_200__003,L,"{""activation"": ""relu"", ""batch_size"": 256, ""epochs"": 200, ""hidden_layer_sizes"": [64], ""imbalance"": ""sqrt"", ""learning_rate"": 0.0003, ""weight_decay"": 0.001}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38087363690292292,0.74438484481408618,0.38078716989478462,0.064072528500706313,42.44237879110733,0.20859048598011251,-0.00078121502557421119,pytorch_mlp|L|model_stage_v1__coarse__pytorch_mlp__epochs_200__003|seed=20260818
124,hist_gradient_boosting,HistGradientBoosting,model_stage_v1__coarse__hist_gradient_boosting__003,HistGradientBoosting | model_stage_v1__coarse__hist_gradient_boosting__003,L,"{""imbalance"": ""none"", ""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_features"": 0.7, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38087345264882,0.74525071901762296,0.38249325937680823,0.054605980976291803,12.267873000004329,0.20859030172600959,-0.00078139927967713074,hist_gradient_boosting|L|model_stage_v1__coarse__hist_gradient_boosting__003|seed=20260818
125,fixed_l2_logistic,Regresja logistyczna fixed L2,model_stage_v1__coarse__fixed_l2_logistic__001,Regresja logistyczna fixed L2 | model_stage_v1__coarse__fixed_l2_logistic__001,L+D+R,"{""C"": 1.0, ""imbalance"": ""none""}",20260818,COMPLETE,,CONVERGED_NO_WARNINGS,10760,1986,0.1845724907063197,0.38077433909090347,0.73770112005832478,0.38324412418310455,0.052427772577976442,13.082893665938172,0.20849118816809306,-0.00088051283759366106,fixed_l2_logistic|L+D+R|model_stage_v1__coarse__fixed_l2_logistic__001|seed=20260818
